bin start	sense overlap	antisense overlap	total overlap
-1999	117239	92930	210169
-1899	90535	72571	163106
-1799	74251	63309	137560
-1699	59418	55484	114902
-1599	62062	62579	124641
-1499	55670	54455	110125
-1399	64373	79631	144004
-1299	85449	141902	227351
-1199	83488	194228	277716
-1099	121402	98767	220169
-999	124793	77003	201796
-899	83401	62128	145529
-799	56791	47557	104348
-699	110307	108820	219127
-599	133539	87486	221025
-499	298149	288429	586578
-399	339989	169594	509583
-299	251300	361694	612994
-199	239768	181842	421610
-99	163720	123109	286829
1	174304	165554	339858
101	151313	233166	384479
201	336671	259429	596100
301	477882	561550	1039432
401	1009188	452117	1461305
501	949547	574604	1524151
601	654135	577483	1231618
701	385986	555656	941642
801	777943	638486	1416429
901	574001	524054	1098055
1001	580204	500544	1080748
1101	752324	936842	1689166
1201	844671	754111	1598782
1301	313759	456831	770590
1401	503072	358321	861393
1501	452605	349434	802039
1601	275636	331058	606694
1701	258791	345080	603871
1801	268252	253673	521925
1901	410090	376154	786244
2001	1166414	418613	1585027
2101	423610	531425	955035
2201	433583	481225	914808
2301	560801	709908	1270709
2401	937532	722049	1659581
2501	571174	373776	944950
2601	588336	553953	1142289
2701	621008	501713	1122721
2801	771199	879594	1650793
2901	773336	863808	1637144
