bin start	sense overlap	antisense overlap	total overlap
-3000	340988	420016	761004
-2900	374930	376250	751180
-2800	365387	507333	872720
-2700	472927	571273	1044200
-2600	454458	494021	948479
-2500	402099	323005	725104
-2400	348739	589843	938582
-2300	417403	522364	939767
-2200	352362	650128	1002490
-2100	317332	386888	704220
-2000	464415	362481	826896
-1900	534241	570189	1104430
-1800	583059	655448	1238507
-1700	834279	655124	1489403
-1600	388593	399009	787602
-1500	493057	693360	1186417
-1400	467742	454625	922367
-1300	415937	412093	828030
-1200	497640	428423	926063
-1100	549718	701157	1250875
-1000	361918	471516	833434
-900	501242	367270	868512
-800	491354	407118	898472
-700	426775	440697	867472
-600	570004	514726	1084730
-500	396315	352949	749264
-400	394516	368579	763095
-300	425065	306364	731429
-200	546077	391739	937816
-100	127332	94255	221587
0	84074	37941	122015
100	55677	42269	97946
200	75358	81259	156617
300	100557	61559	162116
400	102965	134567	237532
500	81342	90900	172242
600	66620	88056	154676
700	73723	124518	198241
800	91177	66182	157359
900	55253	40397	95650
1000	46718	44721	91439
1100	49955	56786	106741
1200	48509	45338	93847
1300	247140	86405	333545
1400	273831	105018	378849
1500	167005	78542	245547
1600	162163	328414	490577
1700	130098	203978	334076
1800	151866	144633	296499
1900	114469	103007	217476
