bin start	sense overlap	antisense overlap	total overlap
-1999	66148	53137	119285
-1899	71837	67733	139570
-1799	61419	38646	100065
-1699	84536	30707	115243
-1599	90457	31857	122314
-1499	107054	44436	151490
-1399	77270	57232	134502
-1299	87918	48540	136458
-1199	82258	68902	151160
-1099	63236	38475	101711
-999	67164	39958	107122
-899	62531	44324	106855
-799	46803	24742	71545
-699	67212	17047	84259
-599	65821	37923	103744
-499	59138	18225	77363
-399	58258	48754	107012
-299	63946	47040	110986
-199	54329	20550	74879
-99	46116	45347	91463
1	76048	73073	149121
101	116766	135395	252161
201	157035	148067	305102
301	193934	190286	384220
401	193899	201895	395794
501	186890	234880	421770
601	209413	224058	433471
701	224812	172020	396832
801	224621	216095	440716
901	208540	209693	418233
1001	209000	214681	423681
1101	209708	173377	383085
1201	191366	179907	371273
1301	175094	193029	368123
1401	202248	152041	354289
1501	168302	170732	339034
1601	174015	182846	356861
1701	166723	176727	343450
1801	153714	182955	336669
1901	163465	130991	294456
2001	137374	183667	321041
2101	132349	157825	290174
2201	178895	158844	337739
2301	179968	137061	317029
2401	176648	166011	342659
2501	158777	133212	291989
2601	227519	119881	347400
2701	220048	160622	380670
2801	140122	154943	295065
2901	116653	156121	272774
