bin start	sense overlap	antisense overlap	total overlap
-3000	172482	166707	339189
-2900	178955	157820	336775
-2800	173447	156533	329980
-2700	162688	153471	316159
-2600	147013	132664	279677
-2500	150877	182073	332950
-2400	196607	168286	364893
-2300	178905	215347	394252
-2200	225240	174007	399247
-2100	179111	168426	347537
-2000	197760	187344	385104
-1900	203275	219776	423051
-1800	204929	249311	454240
-1700	165042	220926	385968
-1600	260390	249617	510007
-1500	175022	249790	424812
-1400	223564	203561	427125
-1300	256060	216935	472995
-1200	244918	254918	499836
-1100	193911	222378	416289
-1000	260633	247854	508487
-900	301785	296412	598197
-800	279603	285062	564665
-700	372615	355679	728294
-600	354858	369135	723993
-500	414404	396464	810868
-400	490504	457167	947671
-300	583622	479583	1063205
-200	697278	502041	1199319
-100	216834	150746	367580
0	40655	32164	72819
100	96925	17486	114411
200	57243	12531	69774
300	48263	19840	68103
400	49566	19332	68898
500	45708	26858	72566
600	47254	24138	71392
700	58478	51059	109537
800	79456	43800	123256
900	73925	39385	113310
1000	72099	60680	132779
1100	81663	34835	116498
1200	62434	46142	108576
1300	99365	32745	132110
1400	111277	49591	160868
1500	61278	33725	95003
1600	65826	32281	98107
1700	58747	37179	95926
1800	139882	35162	175044
1900	77560	47421	124981
