bin start	sense overlap	antisense overlap	total overlap
-1999	110761	82948	193709
-1899	100580	80613	181193
-1799	86057	64851	150908
-1699	69257	52591	121848
-1599	112448	63184	175632
-1499	98927	53228	152155
-1399	86564	71052	157616
-1299	80597	63455	144052
-1199	75046	61191	136237
-1099	78562	66949	145511
-999	63232	50794	114026
-899	60384	46179	106563
-799	56946	47084	104030
-699	36685	29692	66377
-599	45850	39316	85166
-499	34465	23783	58248
-399	37987	28055	66042
-299	45585	42355	87940
-199	49367	40758	90125
-99	74965	61601	136566
1	128774	97289	226063
101	175920	145840	321760
201	197512	187963	385475
301	227522	221282	448804
401	258594	249612	508206
501	277283	278800	556083
601	281166	300285	581451
701	288907	282724	571631
801	311557	302627	614184
901	315825	303769	619594
1001	266081	271573	537654
1101	252490	266862	519352
1201	241606	221598	463204
1301	282972	249013	531985
1401	277437	266446	543883
1501	242401	241422	483823
1601	258657	259418	518075
1701	234599	227427	462026
1801	209709	229883	439592
1901	230404	229614	460018
2001	223031	235397	458428
2101	219757	207909	427666
2201	217591	219698	437289
2301	223273	244281	467554
2401	211817	227464	439281
2501	226310	209681	435991
2601	235752	204605	440357
2701	226240	218867	445107
2801	191782	204767	396549
2901	193900	183201	377101
