bin start	sense overlap	antisense overlap	total overlap
-3000	214082	232945	447027
-2900	211095	212593	423688
-2800	234840	226725	461565
-2700	256880	253970	510850
-2600	231381	230597	461978
-2500	256929	264042	520971
-2400	237973	238466	476439
-2300	248944	242925	491869
-2200	263316	266168	529484
-2100	267915	260126	528041
-2000	280429	271663	552092
-1900	276786	268173	544959
-1800	287463	283247	570710
-1700	280981	288112	569093
-1600	312704	297001	609705
-1500	327300	303468	630768
-1400	352608	327357	679965
-1300	324322	313403	637725
-1200	318097	327698	645795
-1100	339524	323534	663058
-1000	400756	369705	770461
-900	401734	385830	787564
-800	435331	413422	848753
-700	507557	488211	995768
-600	559213	512267	1071480
-500	611989	521157	1133146
-400	780561	608712	1389273
-300	1009455	698589	1708044
-200	1062725	775695	1838420
-100	308342	202426	510768
0	45673	40784	86457
100	38906	31137	70043
200	28994	25747	54741
300	48141	45932	94073
400	48575	38359	86934
500	53015	37614	90629
600	49311	42930	92241
700	58125	48416	106541
800	85911	53906	139817
900	91197	62262	153459
1000	103782	67531	171313
1100	90954	71526	162480
1200	73179	50305	123484
1300	114924	56729	171653
1400	105994	53355	159349
1500	83652	51895	135547
1600	108519	51919	160438
1700	64151	55971	120122
1800	164876	67395	232271
1900	77729	61142	138871
