bin start	sense overlap	antisense overlap	total overlap
-1999	95364	61365	156729
-1899	125942	59293	185235
-1799	85715	40546	126261
-1699	77833	39489	117322
-1599	244203	57715	301918
-1499	95256	44659	139915
-1399	68381	40180	108561
-1299	58025	34460	92485
-1199	67914	54085	121999
-1099	85598	96333	181931
-999	54304	34686	88990
-899	97374	40884	138258
-799	71340	25372	96712
-699	129110	46171	175281
-599	52892	42878	95770
-499	65721	27624	93345
-399	121286	54826	176112
-299	88203	72175	160378
-199	84603	35216	119819
-99	89578	20896	110474
1	44866	32782	77648
101	163246	59181	222427
201	55940	61750	117690
301	295059	62924	357983
401	247812	110586	358398
501	240071	123032	363103
601	186929	169395	356324
701	230397	160397	390794
801	248980	209790	458770
901	297689	184163	481852
1001	172805	336821	509626
1101	197591	168704	366295
1201	332256	224791	557047
1301	154989	218746	373735
1401	192873	222677	415550
1501	167809	212129	379938
1601	207262	196391	403653
1701	226202	149253	375455
1801	293331	171763	465094
1901	197933	176319	374252
2001	205472	166932	372404
2101	167736	125419	293155
2201	227963	151403	379366
2301	207804	167092	374896
2401	264794	149155	413949
2501	200737	152157	352894
2601	198823	167515	366338
2701	201225	195925	397150
2801	159566	188205	347771
2901	187892	161339	349231
