bin start	sense overlap	antisense overlap	total overlap
-3000	239052	258235	497287
-2900	276025	310738	586763
-2800	241276	260595	501871
-2700	175419	289164	464583
-2600	175878	358510	534388
-2500	254480	247629	502109
-2400	275580	189796	465376
-2300	277651	190864	468515
-2200	231161	210643	441804
-2100	201256	239886	441142
-2000	223087	208654	431741
-1900	340646	271764	612410
-1800	251255	236035	487290
-1700	297440	234661	532101
-1600	205356	216170	421526
-1500	271708	263503	535211
-1400	196607	231976	428583
-1300	262935	240026	502961
-1200	319872	265705	585577
-1100	284039	252692	536731
-1000	275527	275988	551515
-900	254818	250445	505263
-800	270325	224177	494502
-700	272284	287945	560229
-600	224192	246350	470542
-500	176393	224946	401339
-400	131971	266172	398143
-300	126067	103191	229258
-200	75133	84872	160005
-100	51995	31703	83698
0	132929	70507	203436
100	152087	59503	211590
200	113876	31746	145622
300	89802	54928	144730
400	89426	38245	127671
500	68259	41733	109992
600	56140	30936	87076
700	55056	44790	99846
800	159724	26166	185890
900	169793	19743	189536
1000	124006	28445	152451
1100	173651	39544	213195
1200	209965	41442	251407
1300	262022	38697	300719
1400	624453	39410	663863
1500	78946	60211	139157
1600	108577	53924	162501
1700	103001	54882	157883
1800	293770	57939	351709
1900	313465	51050	364515
