bin start	sense overlap	antisense overlap	total overlap
-1999	37222	23243	60465
-1899	34781	21840	56621
-1799	34234	21662	55896
-1699	37720	20014	57734
-1599	45669	23993	69662
-1499	44158	24872	69030
-1399	45049	22600	67649
-1299	32957	32100	65057
-1199	35913	19949	55862
-1099	42769	19662	62431
-999	35066	14621	49687
-899	39182	15779	54961
-799	32040	15828	47868
-699	24860	10255	35115
-599	26883	11313	38196
-499	29279	11656	40935
-399	33027	18829	51856
-299	58450	27593	86043
-199	35388	11707	47095
-99	22747	17751	40498
1	44901	28228	73129
101	47394	38965	86359
201	58921	59559	118480
301	74761	75055	149816
401	99062	84640	183702
501	98423	89416	187839
601	92744	98206	190950
701	98213	88515	186728
801	98819	106830	205649
901	114702	94729	209431
1001	85077	81446	166523
1101	86760	77866	164626
1201	88332	72174	160506
1301	82839	83191	166030
1401	87603	81261	168864
1501	80506	86057	166563
1601	77671	84248	161919
1701	65118	63109	128227
1801	67471	63702	131173
1901	68767	65259	134026
2001	69851	64485	134336
2101	71589	56440	128029
2201	88957	67094	156051
2301	81611	69844	151455
2401	68860	65868	134728
2501	65786	63971	129757
2601	76032	60595	136627
2701	78325	77458	155783
2801	68115	63956	132071
2901	79776	68266	148042
