bin start	sense overlap	antisense overlap	total overlap
-3000	78025	72651	150676
-2900	81554	71405	152959
-2800	84989	77688	162677
-2700	76280	72931	149211
-2600	73970	74961	148931
-2500	92663	95854	188517
-2400	82004	76429	158433
-2300	91966	82278	174244
-2200	84015	84031	168046
-2100	90124	83626	173750
-2000	88404	86502	174906
-1900	96581	76980	173561
-1800	96959	90084	187043
-1700	96059	95847	191906
-1600	118266	97050	215316
-1500	112668	90982	203650
-1400	103566	97042	200608
-1300	101024	101083	202107
-1200	105229	98145	203374
-1100	105543	104729	210272
-1000	124177	121460	245637
-900	131925	130151	262076
-800	143990	142231	286221
-700	181926	234322	416248
-600	186185	168796	354981
-500	196085	168771	364856
-400	229517	195125	424642
-300	260164	224270	484434
-200	282664	221132	503796
-100	100549	69057	169606
0	33135	28569	61704
100	60757	23082	83839
200	34296	14459	48755
300	65846	12909	78755
400	34304	16276	50580
500	25316	12730	38046
600	27946	15553	43499
700	36592	18714	55306
800	39418	18261	57679
900	48463	15866	64329
1000	52679	21189	73868
1100	52598	19900	72498
1200	65119	23086	88205
1300	73815	14746	88561
1400	39341	15655	54996
1500	34121	14050	48171
1600	55595	15311	70906
1700	37151	21473	58624
1800	122199	25016	147215
1900	32502	25228	57730
