bin start	sense overlap	antisense overlap	total overlap
-1999	49512	30710	80222
-1899	51881	30884	82765
-1799	49567	31252	80819
-1699	49910	25415	75325
-1599	61201	32321	93522
-1499	60604	32999	93603
-1399	53517	30583	84100
-1299	43749	42074	85823
-1199	51989	25386	77375
-1099	55612	24394	80006
-999	44872	18161	63033
-899	49911	21437	71348
-799	48424	19727	68151
-699	36676	13080	49756
-599	39271	15057	54328
-499	39030	14994	54024
-399	42910	26024	68934
-299	63729	29814	93543
-199	43185	15931	59116
-99	30068	22723	52791
1	55853	39961	95814
101	66550	56660	123210
201	81612	80517	162129
301	98496	108845	207341
401	123150	117875	241025
501	147200	129578	276778
601	128392	134785	263177
701	140127	127789	267916
801	134812	140934	275746
901	168776	134747	303523
1001	122687	113802	236489
1101	121866	110351	232217
1201	125128	101944	227072
1301	120881	127374	248255
1401	133140	113889	247029
1501	110417	114470	224887
1601	106825	116377	223202
1701	93086	91134	184220
1801	94580	94044	188624
1901	98114	100892	199006
2001	100687	95538	196225
2101	104421	82177	186598
2201	117579	97773	215352
2301	112691	101288	213979
2401	94984	94871	189855
2501	99535	92411	191946
2601	100979	84338	185317
2701	111101	109672	220773
2801	91745	89198	180943
2901	107933	92656	200589
