bin start	sense overlap	antisense overlap	total overlap
-3000	103303	97047	200350
-2900	105187	101259	206446
-2800	120552	103150	223702
-2700	104361	98171	202532
-2600	96025	97931	193956
-2500	126775	130361	257136
-2400	106385	103585	209970
-2300	120212	110887	231099
-2200	107613	111510	219123
-2100	116685	111462	228147
-2000	122232	121046	243278
-1900	129936	109385	239321
-1800	134656	118477	253133
-1700	123643	122000	245643
-1600	148532	128812	277344
-1500	142897	126721	269618
-1400	141426	131442	272868
-1300	151326	145408	296734
-1200	141806	134028	275834
-1100	143705	138751	282456
-1000	174243	164344	338587
-900	180030	171639	351669
-800	185993	185186	371179
-700	238649	303200	541849
-600	240922	216757	457679
-500	259894	218623	478517
-400	290833	237428	528261
-300	333071	279623	612694
-200	341826	261838	603664
-100	126074	83639	209713
0	40848	37574	78422
100	92973	21451	114424
200	43917	16306	60223
300	69249	15760	85009
400	39619	24571	64190
500	34359	17089	51448
600	33116	19633	52749
700	47928	25957	73885
800	53471	24951	78422
900	68011	21959	89970
1000	76268	30255	106523
1100	78579	26026	104605
1200	70545	31291	101836
1300	91105	18110	109215
1400	51538	21020	72558
1500	43215	19886	63101
1600	70186	21018	91204
1700	53742	31138	84880
1800	158914	32994	191908
1900	45149	29047	74196
