bin start	sense overlap	antisense overlap	total overlap
-1999	19653	10993	30646
-1899	21719	10960	32679
-1799	17850	10175	28025
-1699	19662	10809	30471
-1599	27121	15287	42408
-1499	24373	9146	33519
-1399	19170	7522	26692
-1299	19132	10835	29967
-1199	22994	9362	32356
-1099	23306	8562	31868
-999	21114	7217	28331
-899	29573	8728	38301
-799	23172	8993	32165
-699	19843	7121	26964
-599	24768	6396	31164
-499	24123	6385	30508
-399	28986	7374	36360
-299	56789	9835	66624
-199	31054	5805	36859
-99	13667	6659	20326
1	14840	10403	25243
101	21784	17108	38892
201	18874	20838	39712
301	22669	28819	51488
401	33558	29956	63514
501	34547	47698	82245
601	41149	44864	86013
701	44393	39754	84147
801	47129	41910	89039
901	54961	38688	93649
1001	44978	38884	83862
1101	42018	47701	89719
1201	44283	44206	88489
1301	42117	45064	87181
1401	40715	40551	81266
1501	41536	42345	83881
1601	43986	43475	87461
1701	33783	34822	68605
1801	35163	38946	74109
1901	37630	32240	69870
2001	32567	37631	70198
2101	31979	34769	66748
2201	38238	29077	67315
2301	40212	39860	80072
2401	36638	34361	70999
2501	38675	37262	75937
2601	35502	41062	76564
2701	38692	35418	74110
2801	31974	31391	63365
2901	53609	34267	87876
