bin start	sense overlap	antisense overlap	total overlap
-3000	40033	35762	75795
-2900	35363	35844	71207
-2800	42414	37354	79768
-2700	39023	39557	78580
-2600	41730	38916	80646
-2500	50450	41327	91777
-2400	49819	44394	94213
-2300	42439	44448	86887
-2200	46251	36400	82651
-2100	63522	41784	105306
-2000	44019	44041	88060
-1900	55140	49297	104437
-1800	52303	59136	111439
-1700	67548	55163	122711
-1600	54207	60528	114735
-1500	56831	59812	116643
-1400	57680	51895	109575
-1300	60213	54597	114810
-1200	58744	70040	128784
-1100	64709	62532	127241
-1000	72344	77627	149971
-900	80424	72917	153341
-800	79045	75974	155019
-700	90778	79308	170086
-600	91212	85005	176217
-500	83368	80246	163614
-400	69386	63006	132392
-300	54169	37723	91892
-200	25905	21586	47491
-100	11858	9754	21612
0	12001	9525	21526
100	15910	7890	23800
200	15955	6563	22518
300	17127	4821	21948
400	15491	7464	22955
500	14593	5546	20139
600	13940	8290	22230
700	19752	6534	26286
800	22469	8043	30512
900	65210	7078	72288
1000	15602	7639	23241
1100	19342	8444	27786
1200	23113	6717	29830
1300	21443	8095	29538
1400	23510	7979	31489
1500	21499	9601	31100
1600	32997	9198	42195
1700	20326	11996	32322
1800	29702	10357	40059
1900	26886	21215	48101
