bin start	sense overlap	antisense overlap	total overlap
-1999	15706	9575	25281
-1899	14613	8920	23533
-1799	14987	12102	27089
-1699	13032	9787	22819
-1599	19333	13822	33155
-1499	20273	8358	28631
-1399	14332	7889	22221
-1299	14480	9097	23577
-1199	20257	18248	38505
-1099	18725	9507	28232
-999	11591	6025	17616
-899	15958	8701	24659
-799	15087	9732	24819
-699	11039	4914	15953
-599	13147	4538	17685
-499	13204	3167	16371
-399	14690	3400	18090
-299	42259	6697	48956
-199	26736	4029	30765
-99	10962	9492	20454
1	19112	15033	34145
101	27318	28343	55661
201	30249	37600	67849
301	36582	44209	80791
401	48687	33143	81830
501	45684	55674	101358
601	44370	45736	90106
701	47167	43925	91092
801	48587	43748	92335
901	51334	42968	94302
1001	44007	42930	86937
1101	39625	43947	83572
1201	40144	45852	85996
1301	40146	39735	79881
1401	40754	42582	83336
1501	31370	38240	69610
1601	39390	32518	71908
1701	32209	27733	59942
1801	33295	39483	72778
1901	34280	33244	67524
2001	33846	51882	85728
2101	35061	37318	72379
2201	40725	39188	79913
2301	41340	41409	82749
2401	34214	30595	64809
2501	42890	31499	74389
2601	34510	33031	67541
2701	38739	40563	79302
2801	27079	31977	59056
2901	42388	30523	72911
