bin start	sense overlap	antisense overlap	total overlap
-3000	39863	36737	76600
-2900	40788	29003	69791
-2800	31589	32009	63598
-2700	31881	36405	68286
-2600	34496	31617	66113
-2500	36383	38544	74927
-2400	36607	40250	76857
-2300	39596	43727	83323
-2200	37058	36473	73531
-2100	49056	56996	106052
-2000	42037	37810	79847
-1900	168566	39896	208462
-1800	45783	40598	86381
-1700	46028	42164	88192
-1600	45995	40783	86778
-1500	45591	45630	91221
-1400	48899	45202	94101
-1300	46063	42645	88708
-1200	42889	45296	88185
-1100	48336	43965	92301
-1000	52908	51525	104433
-900	61043	53689	114732
-800	56600	62920	119520
-700	76681	74581	151262
-600	95715	90223	185938
-500	90575	89143	179718
-400	108773	88606	197379
-300	159248	85464	244712
-200	125965	108526	234491
-100	43154	44242	87396
0	7053	6750	13803
100	8412	3748	12160
200	8316	4308	12624
300	11773	5710	17483
400	8342	6568	14910
500	12687	5116	17803
600	10903	6010	16913
700	13042	6696	19738
800	21861	13899	35760
900	54119	7461	61580
1000	13298	8775	22073
1100	14702	8350	23052
1200	18576	6989	25565
1300	18819	6658	25477
1400	16010	6947	22957
1500	14136	6792	20928
1600	23412	7523	30935
1700	13397	12363	25760
1800	24596	10805	35401
1900	17012	13979	30991
