bin start	sense overlap	antisense overlap	total overlap
-1999	23930	2621	26551
-1899	12345	5502	17847
-1799	23614	7075	30689
-1699	11540	569	12109
-1599	24470	9328	33798
-1499	15158	8280	23438
-1399	9889	9335	19224
-1299	321	5574	5895
-1199	2326	4869	7195
-1099	15301	14635	29936
-999	26152	297	26449
-899	2697	2332	5029
-799	29598	13830	43428
-699	18383	5568	23951
-599	51042	849	51891
-499	34703	33795	68498
-399	33656	13366	47022
-299	39098	54737	93835
-199	46122	20783	66905
-99	16059	11669	27728
1	25718	27703	53421
101	30239	17522	47761
201	88028	10994	99022
301	64223	51961	116184
401	157854	77138	234992
501	91432	75460	166892
601	57085	71098	128183
701	79310	104279	183589
801	92175	53306	145481
901	39815	59720	99535
1001	68909	82112	151021
1101	86075	95469	181544
1201	89434	65420	154854
1301	47272	48819	96091
1401	32418	34890	67308
1501	43179	32091	75270
1601	21277	22948	44225
1701	38655	36371	75026
1801	33148	30293	63441
1901	23495	39261	62756
2001	113291	49998	163289
2101	30476	18836	49312
2201	64124	53519	117643
2301	42981	42518	85499
2401	74406	62031	136437
2501	77574	80036	157610
2601	67719	72398	140117
2701	66864	28771	95635
2801	94312	98049	192361
2901	126730	92405	219135
