bin start	sense overlap	antisense overlap	total overlap
-3000	64412	43589	108001
-2900	54405	54324	108729
-2800	50835	75460	126295
-2700	74048	90678	164726
-2600	84198	37418	121616
-2500	46099	14958	61057
-2400	51869	64342	116211
-2300	48285	54808	103093
-2200	41785	21698	63483
-2100	42539	82326	124865
-2000	39259	27454	66713
-1900	40043	32158	72201
-1800	88414	38313	126727
-1700	79610	89018	168628
-1600	11993	46989	58982
-1500	84882	79055	163937
-1400	43439	40391	83830
-1300	42681	47287	89968
-1200	67815	34034	101849
-1100	41407	80430	121837
-1000	37034	100316	137350
-900	25745	20328	46073
-800	53168	38021	91189
-700	25923	52186	78109
-600	74829	31661	106490
-500	52756	26729	79485
-400	43721	31846	75567
-300	36683	30366	67049
-200	56555	22257	78812
-100	10497	6811	17308
0	17149	7619	24768
100	41359	2512	43871
200	28153	7971	36124
300	20911	3680	24591
400	24931	12925	37856
500	25939	25606	51545
600	18458	10729	29187
700	10761	378	11139
800	11887	4901	16788
900	393	505	898
1000	10265	3170	13435
1100	32450	688	33138
1200	5533	7661	13194
1300	64119	7944	72063
1400	36054	17206	53260
1500	46378	7834	54212
1600	15478	41402	56880
1700	25326	34211	59537
1800	30408	12179	42587
1900	4959	11042	16001
