bin start	sense overlap	antisense overlap	total overlap
-1999	11918	24978	36896
-1899	17567	3593	21160
-1799	3616	2343	5959
-1699	10669	7484	18153
-1599	20451	24816	45267
-1499	29575	17208	46783
-1399	11345	19104	30449
-1299	8696	10815	19511
-1199	7962	7175	15137
-1099	26242	8373	34615
-999	4580	7592	12172
-899	12555	9734	22289
-799	55975	3435	59410
-699	20143	8018	28161
-599	20846	1514	22360
-499	28609	25507	54116
-399	74195	13946	88141
-299	73596	28146	101742
-199	42874	4958	47832
-99	34721	22329	57050
1	61761	10017	71778
101	33229	13283	46512
201	46176	47720	93896
301	76322	68105	144427
401	126253	46111	172364
501	124983	92586	217569
601	34153	85652	119805
701	49009	108143	157152
801	51444	90868	142312
901	82993	68110	151103
1001	55992	61134	117126
1101	56334	102682	159016
1201	105279	135307	240586
1301	31798	24840	56638
1401	74164	18129	92293
1501	54810	20680	75490
1601	26542	84688	111230
1701	48347	30681	79028
1801	11616	43314	54930
1901	58884	64566	123450
2001	140971	79183	220154
2101	38380	55716	94096
2201	39944	35237	75181
2301	101053	57839	158892
2401	165917	67497	233414
2501	58290	69902	128192
2601	69156	99235	168391
2701	104763	47119	151882
2801	62284	76230	138514
2901	136026	48674	184700
