bin start	sense overlap	antisense overlap	total overlap
-3000	42113	73595	115708
-2900	48230	62301	110531
-2800	45311	38078	83389
-2700	45056	53217	98273
-2600	44308	66632	110940
-2500	44037	12703	56740
-2400	69731	100700	170431
-2300	59926	39104	99030
-2200	44255	93256	137511
-2100	41949	54104	96053
-2000	62985	77835	140820
-1900	69485	84957	154442
-1800	34138	44785	78923
-1700	139013	94172	233185
-1600	56262	67951	124213
-1500	78236	58948	137184
-1400	142079	19968	162047
-1300	44452	17214	61666
-1200	74097	39725	113822
-1100	65372	40442	105814
-1000	37086	49276	86362
-900	70302	30507	100809
-800	83623	42261	125884
-700	52250	93562	145812
-600	26231	104987	131218
-500	47203	102081	149284
-400	72955	103821	176776
-300	67119	42712	109831
-200	30894	37069	67963
-100	9797	15590	25387
0	40053	19708	59761
100	34785	10559	45344
200	27409	7388	34797
300	35345	8616	43961
400	40077	4566	44643
500	49717	8270	57987
600	44027	3509	47536
700	30715	26638	57353
800	16620	16037	32657
900	12825	214	13039
1000	12970	166	13136
1100	40154	3960	44114
1200	13992	786	14778
1300	31236	17437	48673
1400	26691	9060	35751
1500	11494	20765	32259
1600	28123	36694	64817
1700	27280	54554	81834
1800	31918	2047	33965
1900	18015	261	18276
