bin start	sense overlap	antisense overlap	total overlap
-1999	55259	7906	63165
-1899	37964	34750	72714
-1799	26502	14727	41229
-1699	34630	5127	39757
-1599	10151	12547	22698
-1499	13669	21990	35659
-1399	52540	22975	75515
-1299	21564	2591	24155
-1199	21482	2622	24104
-1099	92083	687	92770
-999	51950	21292	73242
-899	20099	2666	22765
-799	19830	13499	33329
-699	21968	32297	54265
-599	28343	22746	51089
-499	69616	98236	167852
-399	92187	36298	128485
-299	108125	23826	131951
-199	36501	6528	43029
-99	16535	9360	25895
1	31635	5701	37336
101	21945	26458	48403
201	88553	37086	125639
301	127491	80722	208213
401	181052	85552	266604
501	150810	185098	335908
601	97440	125494	222934
701	88677	135682	224359
801	91643	148243	239886
901	52158	67355	119513
1001	124072	101230	225302
1101	226117	120183	346300
1201	161804	114174	275978
1301	61455	93241	154696
1401	111956	59782	171738
1501	62183	44193	106376
1601	55496	49899	105395
1701	30406	99583	129989
1801	43999	6449	50448
1901	53558	65237	118795
2001	175809	86363	262172
2101	53023	86639	139662
2201	78160	44534	122694
2301	94845	97236	192081
2401	98317	109129	207446
2501	151818	119183	271001
2601	99989	101375	201364
2701	141530	75176	216706
2801	112423	96240	208663
2901	130380	178537	308917
