bin start	sense overlap	antisense overlap	total overlap
-3000	91561	59769	151330
-2900	131500	79608	211108
-2800	50683	18561	69244
-2700	61377	106148	167525
-2600	121555	77604	199159
-2500	75522	32085	107607
-2400	36617	69365	105982
-2300	28623	52971	81594
-2200	80761	93884	174645
-2100	59396	110430	169826
-2000	79991	68226	148217
-1900	50661	65063	115724
-1800	110032	85768	195800
-1700	114770	94007	208777
-1600	32529	39683	72212
-1500	59411	116070	175481
-1400	158131	48635	206766
-1300	72696	97897	170593
-1200	67444	31549	98993
-1100	77993	156980	234973
-1000	89898	150284	240182
-900	45928	67052	112980
-800	46002	62815	108817
-700	51724	21683	73407
-600	37579	90956	128535
-500	47387	33826	81213
-400	55057	60846	115903
-300	96289	13619	109908
-200	71312	54265	125577
-100	35373	28504	63877
0	33852	15385	49237
100	44787	6061	50848
200	25049	5712	30761
300	23919	10171	34090
400	33893	39962	73855
500	39223	299	39522
600	19793	26524	46317
700	14929	24119	39048
800	3819	25368	29187
900	40360	8019	48379
1000	7708	10467	18175
1100	39320	12775	52095
1200	12537	39789	52326
1300	90425	9832	100257
1400	71782	15875	87657
1500	12330	4118	16448
1600	69697	29448	99145
1700	52745	55405	108150
1800	53348	20033	73381
1900	18052	15786	33838
