bin start	sense overlap	antisense overlap	total overlap
-1999	667	99389	100056
-1899	146972	17624	164596
-1799	114917	25370	140287
-1699	15250	23109	38359
-1599	41138	104	41242
-1499	14294	16832	31126
-1399	14977	115	15092
-1299	6468	123366	129834
-1199	107271	120454	227725
-1099	5075	68932	74007
-999	157707	53385	211092
-899	74335	15379	89714
-799	102820	54086	156906
-699	25106	23350	48456
-599	79286	88936	168222
-499	235193	89052	324245
-399	68120	371749	439869
-299	304867	166600	471467
-199	177389	96714	274103
-99	50193	248	50441
1	163508	156751	320259
101	147960	78170	226130
201	83112	296373	379485
301	273585	138302	411887
401	362286	414176	776462
501	371931	188823	560754
601	370650	99378	470028
701	218937	103446	322383
801	515426	423474	938900
901	419924	227828	647752
1001	600900	273061	873961
1101	593547	653568	1247115
1201	298397	423417	721814
1301	136456	253166	389622
1401	458956	382501	841457
1501	302964	201582	504546
1601	187854	168979	356833
1701	121361	85866	207227
1801	88073	99550	187623
1901	246906	118730	365636
2001	572322	128562	700884
2101	214555	244680	459235
2201	313204	139869	453073
2301	272608	478690	751298
2401	323020	273287	596307
2501	241424	236784	478208
2601	296691	193969	490660
2701	252371	214078	466449
2801	632429	403634	1036063
2901	212495	356789	569284
