bin start	sense overlap	antisense overlap	total overlap
-3000	305159	315878	621037
-2900	83231	146521	229752
-2800	169431	345656	515087
-2700	401374	176465	577839
-2600	216904	234885	451789
-2500	492119	248847	740966
-2400	284210	327317	611527
-2300	166519	310171	476690
-2200	158702	150535	309237
-2100	206338	100071	306409
-2000	218475	226634	445109
-1900	227955	107604	335559
-1800	399972	352830	752802
-1700	615109	245581	860690
-1600	455881	225564	681445
-1500	228099	419948	648047
-1400	436331	159861	596192
-1300	295343	95131	390474
-1200	107528	25293	132821
-1100	451546	319475	771021
-1000	295950	166218	462168
-900	132145	70550	202695
-800	211833	35746	247579
-700	124628	203296	327924
-600	363569	236757	600326
-500	73416	117006	190422
-400	132851	131879	264730
-300	145503	190153	335656
-200	314289	443668	757957
-100	84151	108240	192391
0	104433	142	104575
100	151017	40510	191527
200	23036	9872	32908
300	121113	108633	229746
400	82199	58299	140498
500	132569	175963	308532
600	20339	113741	134080
700	3914	45321	49235
800	58655	13637	72292
900	187595	56550	244145
1000	719	228	947
1100	90921	145	91066
1200	48242	6141	54383
1300	119531	162170	281701
1400	112770	81259	194029
1500	249630	30910	280540
1600	70550	141566	212116
1700	37766	134943	172709
1800	88105	206	88311
1900	100020	53791	153811
