bin start	sense overlap	antisense overlap	total overlap
-1999	65651	59559	125210
-1899	56006	42670	98676
-1799	39953	36566	76519
-1699	28764	30570	59334
-1599	41262	41324	82586
-1499	30967	34650	65617
-1399	44788	55122	99910
-1299	49196	98493	147689
-1199	44378	114729	159107
-1099	61444	57122	118566
-999	75682	40582	116264
-899	41960	29460	71420
-799	32589	25353	57942
-699	56019	49013	105032
-599	71538	72482	144020
-499	184948	195830	380778
-399	201436	112829	314265
-299	190937	262092	453029
-199	152822	139705	292527
-99	104518	78607	183125
1	108843	91179	200022
101	88327	133869	222196
201	205772	174522	380294
301	294135	370449	664584
401	671817	272415	944232
501	527696	352327	880023
601	358230	413187	771417
701	243479	372416	615895
801	501378	437091	938469
901	369315	323942	693257
1001	409544	321398	730942
1101	500642	565773	1066415
1201	558583	464077	1022660
1301	190497	277854	468351
1401	330430	212425	542855
1501	280690	198051	478741
1601	161196	226477	387673
1701	160037	215418	375455
1801	175555	140199	315754
1901	262979	218852	481831
2001	711625	264119	975744
2101	262453	309322	571775
2201	243897	284667	528564
2301	364718	459122	823840
2401	555721	458385	1014106
2501	340189	243319	583508
2601	314653	338276	652929
2701	406739	274641	681380
2801	488768	560356	1049124
2901	492060	552278	1044338
