bin start	sense overlap	antisense overlap	total overlap
-3000	240199	251099	491298
-2900	214211	218196	432407
-2800	216625	295942	512567
-2700	290942	358143	649085
-2600	248337	288526	536863
-2500	246765	189825	436590
-2400	226629	371730	598359
-2300	285350	318137	603487
-2200	211769	399664	611433
-2100	201037	219941	420978
-2000	303121	224851	527972
-1900	330191	330625	660816
-1800	364017	429623	793640
-1700	541314	420606	961920
-1600	237144	235286	472430
-1500	281839	418985	700824
-1400	319182	244966	564148
-1300	266964	242870	509834
-1200	320756	268801	589557
-1100	362390	477890	840280
-1000	232331	306398	538729
-900	304570	216074	520644
-800	323622	255867	579489
-700	257665	261975	519640
-600	332558	306327	638885
-500	267166	231449	498615
-400	260525	225395	485920
-300	246099	196459	442558
-200	350126	260329	610455
-100	72246	71174	143420
0	46822	26483	73305
100	27438	24720	52158
200	58893	54432	113325
300	64232	54401	118633
400	59224	100818	160042
500	55778	58641	114419
600	47459	56551	104010
700	36515	83243	119758
800	45133	53244	98377
900	33456	20744	54200
1000	35051	34921	69972
1100	34089	32889	66978
1200	26616	32101	58717
1300	178147	41271	219418
1400	198579	57441	256020
1500	114680	42804	157484
1600	98627	221549	320176
1700	102275	139418	241693
1800	100725	95890	196615
1900	66057	66624	132681
