bin start	sense overlap	antisense overlap	total overlap
-1999	69003	72740	141743
-1899	71357	47422	118779
-1799	43290	39780	83070
-1699	36689	27353	64042
-1599	38964	44747	83711
-1499	31419	29705	61124
-1399	40891	58561	99452
-1299	49008	99273	148281
-1199	45327	114585	159912
-1099	62091	54309	116400
-999	77688	38600	116288
-899	40609	30741	71350
-799	33456	23274	56730
-699	63125	50134	113259
-599	75351	69986	145337
-499	185547	198483	384030
-399	197370	109420	306790
-299	193333	268611	461944
-199	164998	148060	313058
-99	117118	89311	206429
1	134376	102780	237156
101	86280	139088	225368
201	210671	175120	385791
301	325827	379785	705612
401	706370	294018	1000388
501	575978	361393	937371
601	376698	399174	775872
701	260673	413814	674487
801	545175	477509	1022684
901	386593	371666	758259
1001	391633	347386	739019
1101	496365	629892	1126257
1201	581370	519064	1100434
1301	207248	287002	494250
1401	333935	208375	542310
1501	298230	222947	521177
1601	170707	240289	410996
1701	174832	218260	393092
1801	177839	162911	340750
1901	267643	235141	502784
2001	763701	274034	1037735
2101	278537	340939	619476
2201	265488	311970	577458
2301	379343	469912	849255
2401	610695	509090	1119785
2501	379536	249559	629095
2601	344613	342224	686837
2701	425635	320280	745915
2801	503612	574167	1077779
2901	547409	582051	1129460
