bin start	sense overlap	antisense overlap	total overlap
-3000	231571	274163	505734
-2900	216119	260081	476200
-2800	229957	315992	545949
-2700	293939	363658	657597
-2600	257970	312875	570845
-2500	255577	194991	450568
-2400	236819	397937	634756
-2300	289855	328719	618574
-2200	207109	420139	627248
-2100	210826	238511	449337
-2000	307205	228935	536140
-1900	338924	364628	703552
-1800	378974	438923	817897
-1700	563809	460873	1024682
-1600	257667	262514	520181
-1500	307782	427160	734942
-1400	328507	268034	596541
-1300	263170	278056	541226
-1200	334753	286298	621051
-1100	371897	515209	887106
-1000	234853	315297	550150
-900	316157	231977	548134
-800	330487	275068	605555
-700	276351	263841	540192
-600	348528	306657	655185
-500	289855	251301	541156
-400	284140	254199	538339
-300	261604	197726	459330
-200	355243	247060	602303
-100	82275	72109	154384
0	45201	29226	74427
100	29360	21413	50773
200	57230	55395	112625
300	61147	58759	119906
400	69131	114242	183373
500	68034	63888	131922
600	41212	54667	95879
700	34811	82380	117191
800	50733	53400	104133
900	31771	26538	58309
1000	27708	33450	61158
1100	38020	31089	69109
1200	36722	31737	68459
1300	181866	51187	233053
1400	192343	65906	258249
1500	114165	42308	156473
1600	92972	218764	311736
1700	105611	143714	249325
1800	105173	99614	204787
1900	75126	63415	138541
