bin start	sense overlap	antisense overlap	total overlap
-1999	102408	80447	182855
-1899	110450	93260	203710
-1799	89504	65755	155259
-1699	86180	60707	146887
-1599	171037	82181	253218
-1499	106127	61795	167922
-1399	90524	61982	152506
-1299	83493	52245	135738
-1199	108975	62206	171181
-1099	97219	67361	164580
-999	94185	32648	126833
-899	95062	37178	132240
-799	85501	43695	129196
-699	85168	35917	121085
-599	79429	36956	116385
-499	76480	24430	100910
-399	84751	27230	111981
-299	90040	41134	131174
-199	83442	36217	119659
-99	83658	60495	144153
1	124010	94962	218972
101	169124	156181	325305
201	240287	220171	460458
301	273137	274324	547461
401	288560	283866	572426
501	327756	313601	641357
601	326360	341826	668186
701	322042	279227	601269
801	302485	305800	608285
901	302015	287465	589480
1001	283283	298905	582188
1101	248092	265902	513994
1201	236749	225457	462206
1301	261231	277427	538658
1401	267617	247182	514799
1501	236485	233327	469812
1601	208495	231366	439861
1701	249889	235032	484921
1801	208364	220114	428478
1901	180095	210159	390254
2001	248145	267516	515661
2101	209580	202219	411799
2201	219674	222031	441705
2301	234649	194819	429468
2401	209091	218418	427509
2501	225572	209058	434630
2601	253127	182858	435985
2701	200029	204438	404467
2801	203035	213537	416572
2901	196466	179973	376439
