bin start	sense overlap	antisense overlap	total overlap
-3000	216528	217325	433853
-2900	210786	192716	403502
-2800	202505	225417	427922
-2700	214473	194625	409098
-2600	198124	175950	374074
-2500	217638	219354	436992
-2400	276073	228333	504406
-2300	244668	237551	482219
-2200	217755	211817	429572
-2100	258218	259990	518208
-2000	255346	257097	512443
-1900	283805	252907	536712
-1800	277968	291871	569839
-1700	214090	253155	467245
-1600	292266	277775	570041
-1500	262518	258964	521482
-1400	298877	266034	564911
-1300	290527	307733	598260
-1200	293379	289499	582878
-1100	298226	308635	606861
-1000	359578	359799	719377
-900	408299	373423	781722
-800	371506	399717	771223
-700	527308	525693	1053001
-600	562916	502511	1065427
-500	590208	552483	1142691
-400	686709	611604	1298313
-300	785610	585782	1371392
-200	897350	620607	1517957
-100	296775	215730	512505
0	54121	30381	84502
100	66506	20952	87458
200	42391	23233	65624
300	50449	30402	80851
400	55536	30201	85737
500	56398	36055	92453
600	56939	37170	94109
700	69788	44751	114539
800	110240	58614	168854
900	117877	56487	174364
1000	97458	67862	165320
1100	86867	65026	151893
1200	109435	50933	160368
1300	136287	50460	186747
1400	92137	55059	147196
1500	82006	48228	130234
1600	106184	50098	156282
1700	93773	59644	153417
1800	186306	69376	255682
1900	105756	51926	157682
