bin start	sense overlap	antisense overlap	total overlap
-1999	36321	19999	56320
-1899	42221	25811	68032
-1799	51818	11539	63357
-1699	22118	20832	42950
-1599	90471	42898	133369
-1499	37189	39402	76591
-1399	37679	7635	45314
-1299	19511	26237	45748
-1199	23244	23468	46712
-1099	31108	96214	127322
-999	18878	20618	39496
-899	42342	6353	48695
-799	56236	7357	63593
-699	83417	5214	88631
-599	29221	23652	52873
-499	43879	10432	54311
-399	76103	14523	90626
-299	43485	11933	55418
-199	26299	10068	36367
-99	41182	7914	49096
1	38995	3640	42635
101	55854	14368	70222
201	41873	40392	82265
301	82585	49395	131980
401	92961	64461	157422
501	98846	77567	176413
601	63881	68155	132036
701	118578	59389	177967
801	103753	98043	201796
901	116729	88400	205129
1001	144355	161989	306344
1101	71566	63262	134828
1201	137511	84757	222268
1301	82929	86325	169254
1401	81676	64014	145690
1501	58726	106975	165701
1601	68334	65079	133413
1701	76411	76514	152925
1801	121198	67491	188689
1901	80530	91979	172509
2001	94883	91021	185904
2101	85253	94666	179919
2201	88463	71968	160431
2301	83708	59076	142784
2401	106027	56864	162891
2501	128194	72333	200527
2601	66227	53374	119601
2701	81667	56446	138113
2801	43900	89193	133093
2901	66097	88508	154605
