bin start	sense overlap	antisense overlap	total overlap
-3000	71741	117426	189167
-2900	103033	127429	230462
-2800	86620	120245	206865
-2700	111886	126422	238308
-2600	88149	120573	208722
-2500	116920	131911	248831
-2400	83054	78298	161352
-2300	86568	83173	169741
-2200	88648	110832	199480
-2100	107472	86894	194366
-2000	124518	75074	199592
-1900	131719	122898	254617
-1800	108754	84898	193652
-1700	137408	126864	264272
-1600	104965	123555	228520
-1500	134146	107982	242128
-1400	101049	103183	204232
-1300	112566	104554	217120
-1200	170217	129940	300157
-1100	130992	130504	261496
-1000	154354	137100	291454
-900	132085	145894	277979
-800	128478	129756	258234
-700	117311	105448	222759
-600	89349	85451	174800
-500	95031	88743	183774
-400	96084	150662	246746
-300	95238	47669	142907
-200	48849	25024	73873
-100	26893	41688	68581
0	67279	40347	107626
100	95421	28087	123508
200	80467	3473	83940
300	39636	8334	47970
400	30089	6207	36296
500	33752	24402	58154
600	22266	21808	44074
700	37505	12672	50177
800	39184	8475	47659
900	85853	19335	105188
1000	47266	8174	55440
1100	59835	16356	76191
1200	74812	11444	86256
1300	95867	23526	119393
1400	373737	23513	397250
1500	38045	26562	64607
1600	52359	23016	75375
1700	50182	32138	82320
1800	88972	25243	114215
1900	92953	23493	116446
