bin start	sense overlap	antisense overlap	total overlap
-1999	19319	41511	60830
-1899	46402	32298	78700
-1799	45813	19201	65014
-1699	26148	30352	56500
-1599	132331	59734	192065
-1499	69237	19171	88408
-1399	60183	37678	97861
-1299	24736	32966	57702
-1199	22472	12962	35434
-1099	63121	117425	180546
-999	34413	13700	48113
-899	45230	37178	82408
-799	36818	3466	40284
-699	79941	6574	86515
-599	45021	20104	65125
-499	28232	13166	41398
-399	63411	16028	79439
-299	34144	31597	65741
-199	40228	15400	55628
-99	39254	10804	50058
1	18462	7594	26056
101	59077	18172	77249
201	31996	36968	68964
301	96506	44308	140814
401	110181	89957	200138
501	145240	100699	245939
601	73193	85135	158328
701	115610	69826	185436
801	123308	127528	250836
901	141830	83686	225516
1001	128967	149989	278956
1101	83865	97769	181634
1201	179433	107608	287041
1301	68088	111428	179516
1401	98906	116424	215330
1501	133362	112651	246013
1601	110645	80827	191472
1701	86786	66807	153593
1801	138285	93415	231700
1901	97793	70952	168745
2001	106603	74057	180660
2101	96405	73603	170008
2201	113136	95607	208743
2301	115831	108463	224294
2401	152064	103189	255253
2501	124685	69974	194659
2601	122649	108312	230961
2701	76019	83468	159487
2801	102853	90367	193220
2901	72740	124948	197688
