bin start	sense overlap	antisense overlap	total overlap
-3000	84325	153366	237691
-2900	139119	151704	290823
-2800	113973	116218	230191
-2700	119265	136662	255927
-2600	118054	163628	281682
-2500	144107	97732	241839
-2400	117168	125400	242568
-2300	118062	107705	225767
-2200	126139	103535	229674
-2100	132548	81377	213925
-2000	98670	145091	243761
-1900	165079	152551	317630
-1800	182830	112061	294891
-1700	152409	93577	245986
-1600	142749	116691	259440
-1500	142429	126852	269281
-1400	160234	120720	280954
-1300	157732	130206	287938
-1200	227975	135099	363074
-1100	164351	163918	328269
-1000	186001	135579	321580
-900	149374	146988	296362
-800	117004	164545	281549
-700	152779	98819	251598
-600	153192	98161	251353
-500	118901	139835	258736
-400	82303	242421	324724
-300	81983	36942	118925
-200	24287	45513	69800
-100	24543	28281	52824
0	99066	36618	135684
100	104087	34756	138843
200	109289	26104	135393
300	50864	10379	61243
400	27003	20557	47560
500	34823	17743	52566
600	37109	41107	78216
700	42960	21982	64942
800	57209	14408	71617
900	76604	7930	84534
1000	40516	12671	53187
1100	59612	22711	82323
1200	77211	19780	96991
1300	121576	12258	133834
1400	400684	36807	437491
1500	33710	22156	55866
1600	61372	10421	71793
1700	60329	21911	82240
1800	78330	37497	115827
1900	95224	35903	131127
